id_ciudad_origen,id_ciudad_destino,capacidad,costo
CBOD,DOSQUEBRADAS,4.5,805577.0
CBOD,DOSQUEBRADAS,8.5,1166447.0
CBOD,EJE CAFETERO,4.5,775000.0
CBOD,EJE CAFETERO,8.5,1190000.0
CBOD,EJE CAFETERO,17.0,2375000.0
CBOD,EJE CAFETERO,34.0,3920000.0
CBOD,EL CERRITO,1.0,64488.0
CBOD,FACATATIVA,4.5,1085000.0
CBOD,FACATATIVA,8.5,1495000.0
CBOD,FACATATIVA,17.0,3180000.0
CBOD,FACATATIVA,34.0,4390000.0
CBOD,GALAPA,4.5,2425000.0
CBOD,GALAPA,8.5,2990000.0
CBOD,GALAPA,17.0,4750000.0
CBOD,GALAPA,34.0,6190000.0
CBOD,GINEBRA,4.5,376092.0
CBOD,GINEBRA,8.5,501662.0
CBOD,GIRON,4.5,2425000.0
CBOD,GIRON,8.5,2990000.0
CBOD,GIRON,17.0,4750000.0
CBOD,GIRON,34.0,6190000.0
CBOD,GUACHENE,4.5,483345.0
CBOD,GUACHENE,8.5,558671.0
CBOD,GUADALAJARA DE BUGA,4.5,376092.0
CBOD,GUADALAJARA DE BUGA,8.5,501662.0
CBOD,GUAJIRA,4.5,2425000.0
CBOD,GUAJIRA,8.5,2990000.0
CBOD,GUAJIRA,17.0,4750000.0
CBOD,GUAJIRA,34.0,6190000.0
CBOD,IBAGUE,4.5,1135000.0
CBOD,IBAGUE,8.5,1600000.0
CBOD,IBAGUE,17.0,3610000.0
CBOD,IBAGUE,34.0,4385000.0
CBOD,JAMUNDI,4.5,400000.0
CBOD,JAMUNDI,8.5,650000.0
CBOD,JAMUNDI,17.0,1370000.0
CBOD,JAMUNDI,34.0,2750000.0
CBOD,LA CEJA,4.5,1085000.0
CBOD,LA CEJA,8.5,1495000.0
CBOD,LA CEJA,17.0,3400000.0
CBOD,LA CEJA,34.0,4390000.0
CBOD,LA TEBAIDA,4.5,805576.5
CBOD,LA TEBAIDA,8.5,1166446.5
CBOD,LOS PATIOS,4.5,2580000.0
CBOD,LOS PATIOS,8.5,4645000.0
CBOD,LOS PATIOS,17.0,5880000.0
CBOD,LOS PATIOS,34.0,6300000.0
CBOD,MAGANGUE,4.5,2530000.0
CBOD,MAGANGUE,8.5,3300000.0
CBOD,MAGANGUE,17.0,4850000.0
CBOD,MAGANGUE,34.0,6300000.0
CBOD,MANIZALES,4.5,805577.0
CBOD,MANIZALES,8.5,1166447.0
CBOD,MEDELLIN,4.5,1085000.0
CBOD,MEDELLIN,8.5,1495000.0
CBOD,MEDELLIN,17.0,3400000.0
CBOD,MEDELLIN,34.0,4390000.0
CBOD,MEDELLIN/FUE/PERIM/URB,4.5,1085000.0
CBOD,MEDELLIN/FUE/PERIM/URB,8.5,1495000.0
CBOD,MEDELLIN/FUE/PERIM/URB,17.0,3400000.0
CBOD,MEDELLIN/FUE/PERIM/URB,34.0,4390000.0
CBOD,MIRANDA,1.0,64488.0
CBOD,MONTERIA-SINCELEJO,4.5,2530000.0
CBOD,MONTERIA-SINCELEJO,8.5,3300000.0
CBOD,MONTERIA-SINCELEJO,17.0,4850000.0
CBOD,MONTERIA-SINCELEJO,34.0,6300000.0
CBOD,NEIVA,4.5,1290000.0
CBOD,NEIVA,8.5,2375000.0
CBOD,NEIVA,17.0,4130000.0
CBOD,NEIVA,34.0,5260000.0
CBOD,PALMIRA,1.0,64488.0
CBOD,PASTO,4.5,1735000.0
CBOD,PASTO,8.5,2045000.0
CBOD,PASTO,17.0,3045000.0
CBOD,PASTO,34.0,4645000.0
CBOD,PEREIRA,4.5,805577.0
CBOD,PEREIRA,8.5,1166447.0
CBOD,PIEDECUESTA,4.5,2425000.0
CBOD,PIEDECUESTA,8.5,2990000.0
CBOD,PIEDECUESTA,17.0,4750000.0
CBOD,PIEDECUESTA,34.0,6190000.0
CBOD,POPAYAN,4.5,775000.0
CBOD,POPAYAN,8.5,980000.0
CBOD,POPAYAN,17.0,2680000.0
CBOD,POPAYAN,34.0,3770000.0
CBOD,PUERTO TEJADA,4.5,483345.0
CBOD,PUERTO TEJADA,8.5,558671.0
CBOD,RIONEGRO,4.5,1085000.0
CBOD,RIONEGRO,8.5,1495000.0
CBOD,RIONEGRO,17.0,3400000.0
CBOD,RIONEGRO,34.0,4390000.0
CBOD,SAN PEDRO,1.0,64488.0
CBOD,SANTA ROSA DE CABAL,4.5,805577.0
CBOD,SANTA ROSA DE CABAL,8.5,1166447.0
CBOD,SANTANDER DE QUILICHAO,4.5,400000.0
CBOD,SANTANDER DE QUILICHAO,8.5,650000.0
CBOD,SANTANDER DE QUILICHAO,17.0,1370000.0
CBOD,SANTANDER DE QUILICHAO,34.0,2750000.0
CBOD,SANTANDER QUILICHAO,4.5,460000.0
CBOD,SANTANDER QUILICHAO,8.5,570000.0
CBOD,SANTANDER QUILICHAO,17.0,1860000.0
CBOD,SANTANDER QUILICHAO,34.0,2270000.0
CBOD,SOLEDAD,4.5,2425000.0
CBOD,SOLEDAD,8.5,2990000.0
CBOD,SOLEDAD,17.0,4750000.0
CBOD,SOLEDAD,34.0,6190000.0
CBOD,TULUA,1.0,64488.0
CBOD,TURBACO,4.5,2425000.0
CBOD,TURBACO,8.5,2990000.0
CBOD,TURBACO,17.0,4750000.0
CBOD,TURBACO,34.0,6190000.0
CBOD,TURBO,4.5,2530000.0
CBOD,TURBO,8.5,3100000.0
CBOD,TURBO,17.0,4950000.0
CBOD,TURBO,34.0,6400000.0
CBOD,TURBO-ANTIOQUIA,4.5,2530000.0
CBOD,TURBO-ANTIOQUIA,8.5,3100000.0
CBOD,TURBO-ANTIOQUIA,17.0,4950000.0
CBOD,TURBO-ANTIOQUIA,34.0,6400000.0
CBOD,VILLA DEL ROSARIO,4.5,2580000.0
CBOD,VILLA DEL ROSARIO,8.5,4645000.0
CBOD,VILLA DEL ROSARIO,17.0,5880000.0
CBOD,VILLA DEL ROSARIO,34.0,6300000.0
CBOD,VILLA RICA,4.5,775000.0
CBOD,VILLA RICA,8.5,980000.0
CBOD,VILLA RICA,17.0,2680000.0
CBOD,VILLA RICA,34.0,3770000.0
CBOD,VILLAVICENCIO,4.5,1085000.0
CBOD,VILLAVICENCIO,8.5,1495000.0
CBOD,VILLAVICENCIO,17.0,3180000.0
CBOD,VILLAVICENCIO,34.0,4390000.0
CBOD,YOPAL,4.5,1085000.0
CBOD,YOPAL,8.5,1495000.0
CBOD,YOPAL,17.0,3180000.0
CBOD,YOPAL,34.0,4390000.0
CBOD,YUMBO,1.0,64488.0
CBOD,ZF DEL PACIFICO,4.5,460000.0
CBOD,ZF DEL PACIFICO,8.5,570000.0
CBOD,ZF DEL PACIFICO,17.0,1860000.0
CBOD,ZF DEL PACIFICO,34.0,2270000.0
CBOD,ZONA FRANCA RIONEGRO ANTIOQUIA,4.5,1085000.0
CBOD,ZONA FRANCA RIONEGRO ANTIOQUIA,8.5,1495000.0
CBOD,ZONA FRANCA RIONEGRO ANTIOQUIA,17.0,3400000.0
CBOD,ZONA FRANCA RIONEGRO ANTIOQUIA,34.0,4390000.0
CGNA_PLANT,ABOD,1.0,153600.0
CGNA_PLANT,ACAJUTLA,40.0,4641480.0
