,tiempo,producto,transporte,origen,destino,costo,valor_decision
299,4,MASTERB. NEGRO B.PP,1.0,CGNA_PLANT,ABOD,153600.0,3.0
300,4,MASTERB. NEGRO B.PP,1.0,CGNA_PLANT,BBOD,166400.0,0.425
302,4,MASTERBATCH DE COLOR,1.0,CGNA_PLANT,BBOD,166400.0,2.4979999999999984
303,4,MASTERBATCH DE COLOR,1.0,CGNA_PLANT,CBOD,173000.0,0.1
307,4,PP REF.FIBRA  VIDRIO,1.0,CGNA_PLANT,BBOD,166400.0,0.075
308,4,PP REF.FIBRA  VIDRIO,1.0,CGNA_PLANT,CBOD,173000.0,0.6
310,4,PP REFORZADO  TALCO,1.0,CGNA_PLANT,BBOD,166400.0,0.5
312,5,ADITIVOS,1.0,CGNA_PLANT,ABOD,153600.0,0.7
313,5,ADITIVOS,1.0,CGNA_PLANT,CBOD,173000.0,0.05
314,5,ANTIFIBRILANTES,1.0,CGNA_PLANT,BBOD,166400.0,2.225
315,5,AYUDAS DE PROCESO,34.0,CBOD,CGNA_CEDI,6190000.0,0.056580882352941175
316,5,AYUDAS DE PROCESO,17.0,CBOD,CGNA_CEDI,4750000.0,0.003573529411764706
317,5,AYUDAS DE PROCESO,8.5,CBOD,CGNA_CEDI,2990000.0,0.002382352941176471
318,5,AYUDAS DE PROCESO,4.5,CBOD,CGNA_CEDI,2425000.0,0.0045000000000000005
319,5,AYUDAS DE PROCESO,1.0,CGNA_PLANT,ABOD,153600.0,14.575000000000001
320,5,AYUDAS DE PROCESO,1.0,CGNA_PLANT,CBOD,173000.0,1.9
322,5,COPOLIMERO IMPACTO,34.0,CBOD,CGNA_CEDI,6190000.0,0.0034367647058823527
323,5,COPOLIMERO IMPACTO,17.0,CBOD,CGNA_CEDI,4750000.0,0.00021705882352941175
324,5,COPOLIMERO IMPACTO,8.5,CBOD,CGNA_CEDI,2990000.0,0.00014470588235294116
325,5,COPOLIMERO IMPACTO,4.5,CBOD,CGNA_CEDI,2425000.0,0.00027333333333333333
326,5,COPOLIMERO IMPACTO,1.0,CGNA_PLANT,ABOD,153600.0,6.75
327,5,COPOLIMERO IMPACTO,1.0,CGNA_PLANT,BBOD,166400.0,81.525
328,5,COPOLIMERO IMPACTO,1.0,CGNA_PLANT,CBOD,173000.0,2.375
331,5,COPOLIMERO RANDOM,34.0,CBOD,CGNA_CEDI,6190000.0,0.005252941176470587
332,5,COPOLIMERO RANDOM,17.0,CBOD,CGNA_CEDI,4750000.0,0.0003317647058823529
333,5,COPOLIMERO RANDOM,8.5,CBOD,CGNA_CEDI,2990000.0,0.00022117647058823527
334,5,COPOLIMERO RANDOM,4.5,CBOD,CGNA_CEDI,2425000.0,0.0004177777777777777
335,5,COPOLIMERO RANDOM,1.0,CGNA_PLANT,ABOD,153600.0,11.525
336,5,COPOLIMERO RANDOM,1.0,CGNA_PLANT,BBOD,166400.0,41.85
337,5,COPOLIMERO RANDOM,1.0,CGNA_PLANT,CBOD,173000.0,8.95
342,5,HDPE HMW BIMODAL,34.0,CBOD,CGNA_CEDI,6190000.0,0.02316323529411765
343,5,HDPE HMW BIMODAL,17.0,CBOD,CGNA_CEDI,4750000.0,0.0014629411764705883
344,5,HDPE HMW BIMODAL,8.5,CBOD,CGNA_CEDI,2990000.0,0.0009752941176470589
345,5,HDPE HMW BIMODAL,4.5,CBOD,CGNA_CEDI,2425000.0,0.0018422222222222223
346,5,HDPE HMW BIMODAL,1.0,CGNA_PLANT,ABOD,153600.0,34.0
347,5,HDPE HMW BIMODAL,1.0,CGNA_PLANT,BBOD,166400.0,33.99999999999999
348,5,HDPE INYEC M.I.17-20,34.0,CBOD,CGNA_CEDI,6190000.0,0.0006705882352941177
349,5,HDPE INYEC M.I.17-20,17.0,CBOD,CGNA_CEDI,4750000.0,4.2352941176470585e-05
350,5,HDPE INYEC M.I.17-20,8.5,CBOD,CGNA_CEDI,2990000.0,2.823529411764706e-05
351,5,HDPE INYEC M.I.17-20,4.5,CBOD,CGNA_CEDI,2425000.0,5.333333333333333e-05
352,5,HDPE INYEC(M.I.6-10),34.0,CBOD,CGNA_CEDI,6190000.0,0.0010058823529411763
353,5,HDPE INYEC(M.I.6-10),17.0,CBOD,CGNA_CEDI,4750000.0,6.352941176470588e-05
354,5,HDPE INYEC(M.I.6-10),8.5,CBOD,CGNA_CEDI,2990000.0,4.2352941176470585e-05
355,5,HDPE INYEC(M.I.6-10),4.5,CBOD,CGNA_CEDI,2425000.0,7.999999999999999e-05
356,5,HDPE SOPLADO,34.0,CBOD,CGNA_CEDI,6190000.0,0.002011764705882353
357,5,HDPE SOPLADO,17.0,CBOD,CGNA_CEDI,4750000.0,0.00012705882352941175
358,5,HDPE SOPLADO,8.5,CBOD,CGNA_CEDI,2990000.0,8.470588235294118e-05
359,5,HDPE SOPLADO,4.5,CBOD,CGNA_CEDI,2425000.0,0.00016
360,5,HDPE SOPLADO,1.0,CGNA_PLANT,BBOD,166400.0,19.0
361,5,HDPE SOPLADO (HMW),34.0,CBOD,CGNA_CEDI,6190000.0,0.010813235294117646
362,5,HDPE SOPLADO (HMW),17.0,CBOD,CGNA_CEDI,4750000.0,0.0006829411764705883
363,5,HDPE SOPLADO (HMW),8.5,CBOD,CGNA_CEDI,2990000.0,0.00045529411764705884
364,5,HDPE SOPLADO (HMW),4.5,CBOD,CGNA_CEDI,2425000.0,0.0008600000000000001
365,5,HDPE SOPLADO FORMOLE,34.0,CBOD,CGNA_CEDI,6190000.0,0.010701470588235295
366,5,HDPE SOPLADO FORMOLE,17.0,CBOD,CGNA_CEDI,4750000.0,0.0006758823529411764
367,5,HDPE SOPLADO FORMOLE,8.5,CBOD,CGNA_CEDI,2990000.0,0.00045058823529411766
368,5,HDPE SOPLADO FORMOLE,4.5,CBOD,CGNA_CEDI,2425000.0,0.0008511111111111111
370,5,HOMOPOLIMERO,34.0,CBOD,CGNA_CEDI,6190000.0,0.011595588235294118
371,5,HOMOPOLIMERO,17.0,CBOD,CGNA_CEDI,4750000.0,0.0007323529411764707
372,5,HOMOPOLIMERO,8.5,CBOD,CGNA_CEDI,2990000.0,0.00048823529411764707
373,5,HOMOPOLIMERO,4.5,CBOD,CGNA_CEDI,2425000.0,0.0009222222222222223
374,5,HOMOPOLIMERO,1.0,CGNA_PLANT,ABOD,153600.0,16.825
375,5,HOMOPOLIMERO,1.0,CGNA_PLANT,BBOD,166400.0,289.72499999999997
376,5,HOMOPOLIMERO,1.0,CGNA_PLANT,CBOD,173000.0,19.099999999999998
379,5,LDPE HEAVY DUTY,34.0,CBOD,CGNA_CEDI,6190000.0,0.0041911764705882355
380,5,LDPE HEAVY DUTY,17.0,CBOD,CGNA_CEDI,4750000.0,0.0002647058823529412
381,5,LDPE HEAVY DUTY,8.5,CBOD,CGNA_CEDI,2990000.0,0.00017647058823529416
382,5,LDPE HEAVY DUTY,4.5,CBOD,CGNA_CEDI,2425000.0,0.0003333333333333334
383,5,LDPE POLIFEN 640,34.0,CBOD,CGNA_CEDI,6190000.0,0.0032691176470588234
384,5,LDPE POLIFEN 640,17.0,CBOD,CGNA_CEDI,4750000.0,0.00020647058823529413
